"","Date","Actual","Concensus","Predictor","GBPUSD daily return","GBPUSD jump return","EURUSD daily return","EURUSD jump return"
"1",2015-05-08,223000,224000,-1000,0.213993904416054,0.110303659486122,-0.382188249933335,0.267451190157808
"2",2015-04-03,126000,244000,-118000,0.546153327489707,0.546006066734073,0.827357970215115,0.788629069234292
"3",2015-03-06,264000,240000,24000,-1.30508919202519,-0.717624596747646,-1.65019494061112,-0.784099197665933
"4",2015-02-06,201000,234000,-33000,-0.606574484737799,-0.261045487176137,-1.35947712418301,-1.08249672632038
"5",2015-01-09,329000,240000,89000,0.550434378937603,-0.151935526489622,0.449609772650139,-0.160866988400643
"6",2014-12-05,353000,230000,123000,-0.650883798098401,-0.344256024480438,-0.727155207239238,-0.541720569210857
"7",2014-11-07,243000,231000,12000,0.290532432261736,0.069549822964099,0.646360184212647,0.16953257447323
"8",2014-10-03,256000,215000,41000,-1.08372553876641,-0.398232841764667,-1.26302494474266,-0.729348343110836
"9",2014-09-05,180000,225000,-45000,0.0612857755714957,0.0920640765973202,0.100494743351875,0.108091414453382
"10",2014-08-01,212000,233000,-21000,-0.396825396825395,0.083209509658233,0.268937696100413,0.141780464144459
"11",2014-07-03,298000,212000,86000,-0.0757443337411789,-0.0932618325950152,-0.351519589893801,-0.336996336996331
"12",2014-06-06,224000,218000,6000,-0.0654177817424939,-0.0534981870058737,-0.139082058414464,-0.095328884652035
"13",2014-05-02,282000,210000,72000,-0.0829089186308196,-0.14824478178368,0.0216356555603703,-0.317391617975915
"14",2014-04-04,203000,2e+05,3000,-0.102452841559697,0.126735063367533,-0.0874954429456731,-0.0145932141554117
"15",2014-03-07,197000,149000,48000,-0.0896217960208001,-0.220645238237227,0.0721604849184709,-0.259086002159048
"16",2014-02-07,129000,185000,-56000,0.600637411130189,0.379762342276124,0.353252870179555,0.154787351662122
"17",2014-01-10,75000,196000,-121000,0.0546381738708135,0.322993479188249,0.455882352941184,0.426972909305068
"18",2013-12-06,241000,180000,61000,0.0244857982370172,0.0978533423032335,0.241439859525916,0.117113160591398
"19",2013-11-08,2e+05,125000,75000,-0.534427044494157,-0.217919183114379,-0.410080524903056,-0.33554544776675
"20",2013-10-22,163000,180000,-17000,0.526544012884833,0.192105100080564,0.731207955542557,0.416819012797087
"21",2013-09-06,193000,180000,13000,0.269472603618626,0.327468858353663,0.434583714547099,0.365965233302834
"22",2013-08-02,104000,184000,-80000,1.10478962688541,0.48184818481849,0.552695336159914,0.265091267136253
"23",2013-07-05,188000,165000,23000,-1.14767148732918,-0.667645880624912,-0.650608008674769,-0.527499806066245
"24",2013-06-07,176000,170000,6000,-0.205325633622078,-0.462516862593942,-0.173729133620359,-0.24907540191712
"25",2013-05-03,165000,145000,20000,0.218917004700292,-0.289351851851849,0.413444606079172,-0.366244468182508
"26",2013-04-05,138000,2e+05,-62000,0.656340246783937,0.485819327731085,0.572223940612449,0.510480315569661
"27",2013-03-08,268000,160000,108000,-0.612883885150894,-0.765492910870003,-0.809036788276596,-0.916940475280814
"28",2013-02-01,119000,160000,-41000,-0.971363693705052,-0.480678008981095,0.522750699455155,0.337317591845721
"29",2013-01-04,196000,150000,46000,0.0248895526102855,0.106143856143848,0.299102691924236,0.176719170188244
"30",2012-12-07,161000,93000,68000,-0.0374018202219273,0.0374765771392838,-0.231517209445908,-0.0232540113169533
"31",2012-11-02,138000,125000,13000,-0.682043650793662,-0.3481504507305,-0.880648899188885,-0.279438019094935
"32",2012-10-05,148000,113000,35000,-0.38295243977764,0.173010380622829,0.0922083909635774,0.238406521571943
"33",2012-09-07,142000,125000,17000,0.470809792843685,0.320090378459814,1.36986301369864,0.456621004566204
"34",2012-08-03,141000,1e+05,41000,0.831614234141309,0.115718418514943,1.63396009524592,0.661818776043788
