Week,jobs - steve jobs
2015-01-04 - 2015-01-10,96
2015-01-11 - 2015-01-17,94
2015-01-18 - 2015-01-24,93
2015-01-25 - 2015-01-31,92
2015-02-01 - 2015-02-07,85
2015-02-08 - 2015-02-14,82
2015-02-15 - 2015-02-21,85
2015-02-22 - 2015-02-28,87
2015-03-01 - 2015-03-07,89
2015-03-08 - 2015-03-14,88
2015-03-15 - 2015-03-21,86
2015-03-22 - 2015-03-28,89
2015-03-29 - 2015-04-04,87
2015-04-05 - 2015-04-11,90
2015-04-12 - 2015-04-18,89
2015-04-19 - 2015-04-25,91
2015-04-26 - 2015-05-02,88
2015-05-03 - 2015-05-09,91
2015-05-10 - 2015-05-16,100
